_id,全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
1,172120,NN0000017181,石川県野々市市,新庄東公園,シンジョウヒガシコウエン,"","",1003,"","",,"",石川県野々市市新庄1丁目245,石川県,野々市市,新庄1丁目,245,"",36.49987388,136.6117608,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
2,172120,NN0000017182,石川県野々市市,新庄西公園,シンジョウニシコウエン,"","",1003,"","",,"",石川県野々市市新庄2丁目161,石川県,野々市市,新庄2丁目,161,"",36.50019298,136.6092288,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
3,172120,NN0000017183,石川県野々市市,新庄すみれ公園,シンジョウスミレコウエン,"","",1003,"","",,"",石川県野々市市新庄3丁目199,石川県,野々市市,新庄3丁目,199,"",36.50368795,136.6099772,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
4,172120,NN0000017184,石川県野々市市,新庄花の木台公園,シンジョウハナノキダイコウエン,"","",1003,"","",,"",石川県野々市市新庄4丁目7-1 他,石川県,野々市市,新庄4丁目,7-1 他,"",36.50629883,136.6134211,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
5,172120,NN0000017185,石川県野々市市,新庄ひばり公園,シンジョウヒバリコウエン,"","",1003,"","",,"",石川県野々市市新庄5丁目101,石川県,野々市市,新庄5丁目,101,"",36.50728194,136.6103875,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
6,172120,NN0000017186,石川県野々市市,新庄１号緑地,シンジョウ１ゴウリョクチ,"","",1003,"","",,"",石川県野々市市新庄4丁目191,石川県,野々市市,新庄4丁目,191,"",36.50811411,136.6128015,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
7,172120,NN0000017187,石川県野々市市,粟田中央公園,アワダチュウオウコウエン,"","",1003,"","",,"",石川県野々市市粟田1丁目144,石川県,野々市市,粟田1丁目,144,"",36.50977197,136.612933,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
8,172120,NN0000017188,石川県野々市市,粟田１号緑地,アワダ１ゴウリョクチ,"","",1003,"","",,"",石川県野々市市粟田1丁目242-42,石川県,野々市市,粟田1丁目,242-42,"",36.51108271,136.6108087,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
9,172120,NN0000017189,石川県野々市市,粟田パンダ公園,アワダパンダコウエン,"","",1003,"","",,"",石川県野々市市粟田3丁目83,石川県,野々市市,粟田3丁目,83,"",36.51479276,136.6131851,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
10,172120,NN0000017190,石川県野々市市,粟田２号緑地,アワダ２ゴウリョクチ,"","",1003,"","",,"",石川県野々市市粟田3丁目149,石川県,野々市市,粟田3丁目,149,"",36.51614653,136.614663,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
11,172120,NN0000017191,石川県野々市市,粟田東公園,アワダヒガシコウエン,"","",1003,"","",,"",石川県野々市市粟田3丁目353､353-1,石川県,野々市市,粟田3丁目,353､353-1,"",36.5168234,136.6146871,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
12,172120,NN0000017192,石川県野々市市,粟田北公園,アワダキタコウエン,"","",1003,"","",,"",石川県野々市市粟田3丁目459,石川県,野々市市,粟田3丁目,459,"",36.51823102,136.6147917,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
13,172120,NN0000017193,石川県野々市市,下林１号緑地,シモバヤシ１ゴウリョクチ,"","",1003,"","",,"",石川県野々市市下林4丁目296,石川県,野々市市,下林4丁目,296,"",36.52413069,136.6038671,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
14,172120,NN0000017194,石川県野々市市,下林２号緑地,シモバヤシ２ゴウリョクチ　　,"","",1003,"","",,"",石川県野々市市下林4丁目71,石川県,野々市市,下林4丁目,71,"",36.5216562,136.6022336,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
15,172120,NN0000017195,石川県野々市市,下林３号緑地,シモバヤシ３ゴウリョクチ,"","",1003,"","",,"",石川県野々市市下林4丁目7,石川県,野々市市,下林4丁目,7,"",36.52139539,136.6014209,"","",076-227-6092,"","","","","",5000020172120,野々市市,"","","","",街区公園,"","","","","","","","","","","","","","","","","","","","",""
