都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考
202142,1200180001,長野県,茅野市,茅野市立永明小学校,チノシリツエイメイショウガッコウ,,1503a,長野県茅野市塚原1-7-40,,35.997666,138.152558,0266-72-2207,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180002,長野県,茅野市,茅野市立宮川小学校,チノシリツミヤガワショウガッコウ,,1503a,長野県茅野市宮川4632,,35.98925,138.158613,0266-72-3024,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り;優先駐車場有り,,
202142,1200180003,長野県,茅野市,茅野市立米沢小学校,チノシリツヨネザワショウガッコウ,,1503a,長野県茅野市米沢4188,,36.030055,138.18228,0266-72-2409,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180004,長野県,茅野市,茅野市立豊平小学校,チノシリツトヨヒラショウガッコウ,,1503a,長野県茅野市豊平2340,,36.014222,138.203419,0266-72-2924,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180005,長野県,茅野市,茅野市立玉川小学校,チノシリツタマガワショウガッコウ,,1503a,長野県茅野市玉川3674,,35.989055,138.190891,0266-72-2702,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り;優先駐車場有り,,
202142,1200180006,長野県,茅野市,茅野市立泉野小学校,チノシリツイズミノショウガッコウ,,1503a,長野県茅野市泉野2643,,35.995944,138.231197,0266-79-3712,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180007,長野県,茅野市,茅野市立金沢小学校,チノシリツカナザワショウガッコウ,,1503a,長野県茅野市金沢1141,,35.946833,138.188002,0266-72-3213,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180008,長野県,茅野市,茅野市立湖東小学校,チノシリツコヒガシショウガッコウ,,1503a,長野県茅野市湖東4982,,36.023222,138.214502,0266-78-2620,,4.00E+12,茅野市,,,,,,スロープ有り,,
202142,1200180009,長野県,茅野市,茅野市立北山小学校,チノシリツキタヤマショウガッコウ,,1503a,長野県茅野市北山4362,,36.034389,138.225086,0266-78-2234,,4.00E+12,茅野市,,,,,,多目的トイレ有り;スロープ有り,,
202142,1200180010,長野県,茅野市,茅野市立永明中学校,チノシリツエイメイチュウガッコウ,,1504a,長野県茅野市塚原1-10-6,,35.998055,138.154224,0266-72-2364,,4.00E+12,茅野市,,,,,,スロープ有り,,
