名称,所在地_連結表記,所在地_都道府県,所在地_市区町村,緯度,経度,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL
羽咋市役所庁舎,石川県羽咋市旭町ア200番地,石川県,羽咋市,36.89365,136.77899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
合同事務所,石川県羽咋市中央町キ6-4,石川県,羽咋市,36.8927,136.77752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市役所分庁舎,石川県羽咋市旭町233-1,石川県,羽咋市,36.89539,136.77899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市役所体育館,石川県羽咋市旭町ア200番地,石川県,羽咋市,36.89365,136.77899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋駅東口駅舎,石川県羽咋市東川原町チ163-1,石川県,羽咋市,36.89691,136.78381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立羽咋公民館,石川県羽咋市中央町フ169の2,石川県,羽咋市,36.89703,136.77527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立粟ノ保公民館,石川県羽咋市兵庫町タ46番地,石川県,羽咋市,36.88241,136.77899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立千里浜公民館,石川県羽咋市千里浜町ハ140番地2,石川県,羽咋市,36.89499,136.77127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立一ノ宮公民館,石川県羽咋市一ノ宮町レ86-1,石川県,羽咋市,36.92473,136.7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立越路野公民館,石川県羽咋市千路町も30,石川県,羽咋市,36.92451,136.79331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立邑知公民館,石川県羽咋市飯山町ル78番地1,石川県,羽咋市,36.90219,136.82811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立上甘田公民館,石川県羽咋市柴垣町36字19-1,石川県,羽咋市,36.95293,136.76624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立邑知公民館神子原分館,石川県羽咋市神子原町チ18番地,石川県,羽咋市,36.88399,136.86217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立余喜公民館,石川県羽咋市四栁町ちノ部16,石川県,羽咋市,36.93157,136.85696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立富永公民館,石川県羽咋市深江町ハ128番地,石川県,羽咋市,36.90317,136.80351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立鹿島路公民館,石川県羽咋市鹿島路町1788番地,石川県,羽咋市,36.93533,136.81241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一ノ宮地区体育館,石川県羽咋市一ノ宮町レ86-1,石川県,羽咋市,36.92473,136.7627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上甘田地区体育館,石川県羽咋市柴垣町36字19-1,石川県,羽咋市,36.95293,136.76624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
市民活動支援センター,石川県羽咋市鶴多町亀田17番地,石川県,羽咋市,36.89854,136.79379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
コスモアイル羽咋,石川県羽咋市鶴多町免田25-1,石川県,羽咋市,36.89823,136.78839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立図書館,石川県羽咋市鶴多町免田25-1,石川県,羽咋市,36.89823,136.78839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市歴史民俗資料館,石川県羽咋市鶴多町鶴田田38-1,石川県,羽咋市,36.89775,136.79118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唐戸山資料展示室,石川県羽咋市南中央町ユ94,石川県,羽咋市,36.89101,136.78002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋体育館,石川県羽咋市鶴多町亀田１７,石川県,羽咋市,36.89854,136.79379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市民体育館,石川県羽咋市中央町キ59番地,石川県,羽咋市,36.89132,136.7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神子原スポーツセンター,石川県羽咋市神子原町チ22番地,石川県,羽咋市,36.88378,136.86168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余喜スポーツセンター,石川県羽咋市大町64番地,石川県,羽咋市,36.93206,136.84436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市武道館,石川県羽咋市鶴多町鶴多田12,石川県,羽咋市,36.8969,136.79054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市柔道館,石川県羽咋市飯山町リ100番地,石川県,羽咋市,36.9007,136.82564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
弓道場,石川県羽咋市鶴多町亀田17番地,石川県,羽咋市,36.89854,136.79379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋内ゲートボール場　すぱーく羽咋,石川県羽咋市千里浜町カ1-11,石川県,羽咋市,36.88533,136.76981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ユーフォリア千里浜,石川県羽咋市千里浜町タ1-67,石川県,羽咋市,36.88973,136.76794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市ファミリーランド,石川県羽咋市一ノ宮寺家滝町入会地赤山1-2,石川県,羽咋市,36.92803,136.77837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ちりはまホテルゆ華,石川県羽咋市千里浜町タ1番26,石川県,羽咋市,36.88531,136.76761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋勤労者総合福祉センター,石川県羽咋市千里浜町カ1-20,石川県,羽咋市,36.88535,136.77072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神子原農林水産物加工販売施設,石川県羽咋市神子原町は190,石川県,羽咋市,36.88357,136.86177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立羽咋小学校,石川県羽咋市中央町サ90番地,石川県,羽咋市,36.89403,136.77516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立粟ノ保小学校,石川県羽咋市粟生町キ107番地,石川県,羽咋市,36.8809,136.77719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立瑞穂小学校,石川県羽咋市深江町ル61-1,石川県,羽咋市,36.9028,136.80032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立西北台小学校,石川県羽咋市滝町ケ14番地2,石川県,羽咋市,36.93551,136.76247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立邑知小学校,石川県羽咋市飯山町ロ20番地,石川県,羽咋市,36.90026,136.8229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立羽咋中学校,石川県羽咋市中央町キ59番地,石川県,羽咋市,36.89132,136.7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立邑知中学校,石川県羽咋市飯山町ホ57番地,石川県,羽咋市,36.90484,136.82839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立学校給食共同調理場,石川県羽咋市中央町キ9番地,石川県,羽咋市,36.89283,136.77656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粟ノ保放課後児童クラブ,石川県羽咋市兵庫町タ56番地1,石川県,羽咋市,36.88234,136.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立西北台保育所,石川県羽咋市一ノ宮町伊9-3,石川県,羽咋市,36.93702,136.76116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立余喜保育所,石川県羽咋市大町お38番地,石川県,羽咋市,36.93213,136.84634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邑知保育園,石川県羽咋市飯山町ト8-1番地,石川県,羽咋市,36.90215,136.8248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こすもす保育園,石川県羽咋市東的場町古川田15-1,石川県,羽咋市,36.89817,136.78697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とき保育園,石川県羽咋市千路町は10番地,石川県,羽咋市,36.92714,136.80508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋市立千里浜児童センター,石川県羽咋市千里浜町タ118-2,石川県,羽咋市,36.89201,136.77047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羽咋放課後児童クラブ,石川県羽咋市中央町サ90番地,石川県,羽咋市,36.89403,136.77516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞穂放課後児童クラブ,石川県羽咋市深江町へ16番地,石川県,羽咋市,36.90058,136.80254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邑知放課後児童クラブ,石川県羽咋市飯山町リ127番地,石川県,羽咋市,36.90037,136.8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
